"","Display","Sample","Abundance","Sum",".Group"
"108","Proteobacteria; Rhodobacterales; Leisingera; ASV_14","2-60C-Prec",0.182456335409415,0.0940512579355749,"60"
"109","Proteobacteria; Rhodobacterales; Leisingera; ASV_14","21-60A-Prec",0.182456335409415,0.292639480883008,"60"
"110","Proteobacteria; Rhodobacterales; Leisingera; ASV_14","4-60B-Prec",0.182456335409415,0.160678267409661,"60"
"111","Proteobacteria; Rhodobacterales; Nautella; ASV_12","17-35B-Prec",0,0,"35"
"112","Proteobacteria; Rhodobacterales; Nautella; ASV_12","19-35A-Prec",0,0,"35"
"113","Proteobacteria; Rhodobacterales; Nautella; ASV_12","2-60C-Prec",0.217175926253206,0.22572301904538,"60"
"114","Proteobacteria; Rhodobacterales; Nautella; ASV_12","21-60A-Prec",0.217175926253206,0.271963865385839,"60"
"115","Proteobacteria; Rhodobacterales; Nautella; ASV_12","4-60B-Prec",0.217175926253206,0.153840894328399,"60"
"116","Spirochaetota; Brevinematales; Brevinema; ASV_1","17-35B-Prec",2.86851712809627,1.84628008752735,"35"
"117","Spirochaetota; Brevinematales; Brevinema; ASV_1","19-35A-Prec",2.86851712809627,3.89075416866518,"35"
"118","Spirochaetota; Brevinematales; Brevinema; ASV_1","2-60C-Prec",8.69026979755404,7.15730072889725,"60"
"119","Spirochaetota; Brevinematales; Brevinema; ASV_1","21-60A-Prec",8.69026979755404,10.1787645524524,"60"
"120","Spirochaetota; Brevinematales; Brevinema; ASV_1","4-60B-Prec",8.69026979755404,8.73474411131243,"60"
"121","Spirochaetota; Brevinematales; Brevinema; ASV_9","17-35B-Prec",4.09812939085292,0,"35"
"122","Spirochaetota; Brevinematales; Brevinema; ASV_9","19-35A-Prec",4.09812939085292,8.19625878170584,"35"
"123","Spirochaetota; Brevinematales; Brevinema; ASV_9","2-60C-Prec",0,0,"60"
"124","Spirochaetota; Brevinematales; Brevinema; ASV_9","21-60A-Prec",0,0,"60"
"125","Spirochaetota; Brevinematales; Brevinema; ASV_9","4-60B-Prec",0,0,"60"
