	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_584	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_585	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA
ASV_586	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_587	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_588	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae UCG-001	NA
ASV_589	Bacteria	Firmicutes	Clostridia	Lachnospirales	NA	NA	NA
ASV_590	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophaga	NA
ASV_591	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
ASV_592	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	distasonis
ASV_593	Bacteria	Acidobacteriota	Acidobacteriae	Paludibaculum	NA	NA	NA
ASV_594	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	NA
ASV_595	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	NA
ASV_596	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Candidatus Accumulibacter	NA
ASV_597	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV_598	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA
ASV_599	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	HN-HF0106	NA
ASV_600	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV_601	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV_602	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	NA
ASV_603	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV_604	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
ASV_605	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	NA
ASV_606	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ASV_607	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA
ASV_608	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus	NA
ASV_609	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA
ASV_610	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA
ASV_611	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprocola
